# genre,mood,artist,track
Electronic,Workout,The Prodigy,Firestarter
Electronic,Party,Steve Aoki,Boneless
Electronic,Chill,Flume,Never Be Like You
Electronic,Focus,Skrillex,Scary Monsters and Nice Sprites
Electronic,Workout,Alan Walker,Faded
Electronic,Happy,Avicii,Wake Me Up
Electronic,Party,Dimitri Vegas & Like Mike,Tremor
Electronic,Chill,M83,Midnight City

Classical,Focus,Ludovico Einaudi,Una Mattina
Classical,Focus,Hans Zimmer,Time
Classical,Chill,Yiruma,River Flows in You
Classical,Romantic,Andrea Bocelli,Con te partirò
Classical,Focus,Johann Sebastian Bach,Air on the G String
Classical,Focus,Wolfgang Amadeus Mozart,Eine kleine Nachtmusik
Classical,Chill,Claude Debussy,Clair de Lune
Classical,Focus,Frédéric Chopin,Nocturne Op.9 No.2
Classical,Chill,Erik Satie,Gymnopédie No.1
Classical,Focus,Antonio Vivaldi,The Four Seasons: Spring
Classical,Romantic,Ludwig van Beethoven,Für Elise
Classical,Focus,Pyotr Ilyich Tchaikovsky,Swan Lake: Theme
Classical,Chill,Max Richter,On the Nature of Daylight
Classical,Focus,Philip Glass,Opening
Classical,Chill,Einaudi,Nuvole Bianche
Classical,Focus,Arvo Pärt,Spiegel im Spiegel
Classical,Chill,Nils Frahm,Says
Classical,Focus,Howard Shore,Concerning Hobbits
Classical,Chill,Joe Hisaishi,One Summer's Day
Classical,Focus,Ennio Morricone,The Ecstasy of Gold

K-Pop,Happy,BTS,Dynamite
K-Pop,Party,BLACKPINK,DDU-DU DDU-DU
K-Pop,Happy,TWICE,Feel Special
K-Pop,Party,PSY,GANGNAM STYLE
K-Pop,Chill,Taeyeon,Fine
K-Pop,Happy,SEVENTEEN,Very Nice
K-Pop,Party,ITZY,WANNABE
K-Pop,Chill,Red Velvet,Bad Boy
K-Pop,Focus,TXT,Blue Hour
K-Pop,Workout,NCT 127,Cherry Bomb
K-Pop,Happy,NewJeans,Super Shy
K-Pop,Party,LE SSERAFIM,UNFORGIVEN
K-Pop,Chill,BLACKPINK,Stay
K-Pop,Focus,Stray Kids,CASE 143
K-Pop,Workout,ATEEZ,HALA HALA
K-Pop,Happy,IVE,Love Dive
K-Pop,Party,BigBang,Fantastic Baby
K-Pop,Chill,Epik High,Love Love Love
K-Pop,Focus,SHINee,View
K-Pop,Workout,2NE1,I Am The Best

Latin,Party,Bad Bunny,DAKITI
Latin,Party,Karol G,Tusa
Latin,Party,Shakira,Hips Don't Lie
Latin,Party,J Balvin,Mi Gente
Latin,Happy,Enrique Iglesias,Bailando
Latin,Chill,Maluma,Hawái
Latin,Focus,Camila Cabello,Havana
Latin,Party,Daddy Yankee,Gasolina
Latin,Workout,Ozuna,Se Preparó
Latin,Chill,Prince Royce,Darte un Beso
Latin,Happy,Becky G,MAMIII
Latin,Focus,Nicky Jam,El Perdón
Latin,Party,Don Omar,Danza Kuduro
Latin,Workout,Farruko,PEPAS
Latin,Chill,Juanes,A Dios le Pido
Latin,Happy,Pedro Capó,Calma
Latin,Focus,Marc Anthony,Vivir Mi Vida
Latin,Party,Wisin & Yandel,Rakata
Latin,Workout,Anitta,Envolver
Latin,Chill,Luis Fonsi,Despacito

Reggae,Chill,Bob Marley,Three Little Birds
Reggae,Happy,Bob Marley,Could You Be Loved
Reggae,Party,Sean Paul,Temperature
Reggae,Chill,UB40,Red Red Wine
Reggae,Focus,Toots & The Maytals,Pressure Drop
Reggae,Happy,Jimmy Cliff,You Can Get It If You Really Want
Reggae,Chill,Peter Tosh,Legalize It
Reggae,Party,Shaggy,It Wasn't Me
Reggae,Chill,Inner Circle,Sweat (A La La La La Long)
Reggae,Happy,SOJA,Rest of My Life
Reggae,Focus,Steel Pulse,Your House
Reggae,Chill,Chronixx,Smile Jamaica
Reggae,Party,Damian Marley,Welcome to Jamrock
Reggae,Happy,Magic!,Rude
Reggae,Chill,Alborosie,Herbalist
Reggae,Focus,Groundation,Undivided
Reggae,Happy,Protoje,Who Knows
Reggae,Chill,Koffee,Toast
Reggae,Party,Buju Banton,Boom Bye Bye
Reggae,Focus,Collie Buddz,Love & Reggae

House,Workout,Tiesto,The Business
House,Party,David Guetta,Play Hard
House,Party,Calvin Harris,One Kiss
House,Chill,Disclosure,Latch
House,Focus,Robin Schulz,Prayer in C
House,Workout,Martin Garrix,Helicopter
House,Happy,Duke Dumont,Ocean Drive
House,Party,Avicii,The Nights
House,Chill,Nora En Pure,Come With Me
House,Focus,Eric Prydz,Opus
House,Workout,Swedish House Mafia,Greyhound
House,Party,MEDUZA,Piece Of Your Heart
House,Happy,Joel Corry,Head & Heart
House,Chill,Kygo,Stole the Show
House,Focus,Deadmau5,Raise Your Weapon
House,Workout,Don Diablo,On My Mind
House,Party,Axwell Λ Ingrosso,Sun Is Shining
House,Happy,Alesso,Heroes
House,Chill,Petit Biscuit,Sunset Lover
House,Focus,Calvin Harris,Feel So Close

Electronic already covered; Trance/Dubstep/Techno also covered above.
